participant,Which number do you see below?,Which number do you see below?,Which number do you see below?,During the assignment I felt... [General discomfort],During the assignment I felt... [Nausea],During the assignment I felt... [Sweating],During the assignment I felt... [Headache],During the assignment I felt... [Dizziness],How would you describe the general experience? [I felt the objects were part of the real environment],What is your gender?,What is your age group?,"How often have you watched/experienced extended reality content (e.g, 360 videos/games, holographic content)?"
19,12,45,74,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Male,35 - 44,A few times
20,12,45,74,Agree,Strongly disagree,Disagree,Neutral,Agree,Agree,Male,25 - 34,A few times
21,12,45,74,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Male,35 - 44,Never
22,12,45,74,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Male,25 - 34,Never
23,12,45,74,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Female,45 - 54,Never
24,12,45,74,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Male,25 - 34,Monthly
25,12,45,74,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Female,18-24,Never
26,12,45,74,Neutral,Disagree,Strongly agree,Agree,Agree,Neutral,Male,25 - 34,A few times
28,12,45,74,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Female,18-24,A few times
29,12,45,74,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Male,35 - 44,A few times
30,12,45,74,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Female,18-24,A few times
31,12,45,74,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Non-binary,25 - 34,Never
33,12,45,74,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Male,25 - 34,A few times
35,12,45,74,Neutral,Disagree,Strongly disagree,Neutral,Agree,Neutral,Female,35 - 44,Never
37,12,45,74,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Female,45 - 54,A few times
38,12,45,74,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Male,25 - 34,A few times
39,12,45,74,Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Male,25 - 34,A few times
40,12,45,74,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Female,25 - 34,A few times
41,12,45,74,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Male,35 - 44,Once
42,12,45,74,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Female,35 - 44,Never
43,12,45,74,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Female,25 - 34,Once
44,12,45,74,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Male,55 - 64,A few times
46,12,45,74,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Male,25 - 34,Monthly
48,12,45,74,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Female,25 - 34,A few times
49,12,45,74,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Male,25 - 34,A few times
50,12,45,74,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Male,35 - 44,Once
51,12,45,74,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Female,25 - 34,Weekly
52,12,45,74,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Male,35 - 44,A few times
53,12,45,74,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Male,35 - 44,A few times
54,12,45,74,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Male,25 - 34,A few times
55,12,45,74,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Female,35 - 44,A few times
56,12,45,74,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Female,25 - 34,Once